,UID,payment_date,amount,YEAR,MONTH,DAY
260,26138784,2018-06-19 07:20:28,300,2017,4,19
261,26138784,2018-06-22 20:12:21,300,2017,4,22
269,26138784,2018-06-05 05:09:12,400,2017,4,5
271,26138784,2018-05-18 19:53:18,500,2017,3,18
277,26138784,2018-04-07 03:42:28,450,2017,2,5
280,26138784,2018-05-05 02:44:17,300,2017,3,5
283,26138784,2018-11-24 07:04:59,500,2017,9,24
284,26138784,2018-11-21 20:46:42,450,2017,9,21
289,26138784,2018-11-15 17:29:18,500,2017,9,15
290,26138784,2018-11-15 17:30:07,500,2017,9,15
291,26138784,2018-11-20 20:45:31,500,2017,9,20
292,26138784,2018-11-21 06:30:17,500,2017,9,21
295,26138784,2018-10-14 06:47:16,300,2017,8,14
297,26138784,2018-03-10 02:18:26,350,2017,1,8
298,26138784,2018-03-15 05:47:41,300,2017,1,13
300,26138784,2018-09-03 05:24:33,150,2017,7,4
303,26138784,2018-09-17 18:52:49,350,2017,7,18
305,26138784,2018-10-04 06:45:24,500,2017,8,4
306,37535552,2018-08-05 07:10:30,500,2017,6,5
307,37535552,2018-08-16 02:35:36,500,2017,6,16
308,37535552,2018-08-23 07:40:50,500,2017,6,23
309,37535552,2018-09-11 07:53:16,500,2017,7,12
310,37535552,2018-10-21 06:52:49,400,2017,8,21
311,37535552,2018-03-07 07:59:22,500,2017,1,5
315,37535552,2019-07-20 07:00:50,500,2018,5,20
317,20631168,2019-06-21 06:50:57,50,2018,4,21
318,20631168,2019-06-22 13:24:26,50,2018,4,22
319,20631168,2019-06-22 13:26:42,50,2018,4,22
320,20631168,2019-05-16 17:36:37,50,2018,3,16
321,20631168,2019-05-16 17:38:20,50,2018,3,16
322,20631168,2019-05-24 06:33:12,50,2018,3,24
323,20631168,2019-10-09 08:51:01,50,2018,8,9
324,20631168,2019-10-09 08:57:36,50,2018,8,9
325,20631168,2019-05-24 06:35:05,50,2018,3,24
326,20631168,2019-04-24 23:45:33,50,2018,2,22
327,20631168,2019-04-24 23:47:58,50,2018,2,22
328,20631168,2019-04-24 23:49:19,50,2018,2,22
329,20631168,2019-10-09 06:18:05,50,2018,8,9
330,20631168,2019-10-09 08:49:18,50,2018,8,9
331,26027968,2019-05-14 07:25:35,450,2018,3,14
333,26027968,2019-07-05 20:21:25,500,2018,5,5
334,26027968,2019-03-30 20:56:44,500,2018,1,28
336,26027968,2019-09-12 03:29:55,500,2018,7,13
337,26027968,2019-10-06 21:00:57,500,2018,8,6
338,26303968,2018-12-15 06:36:36,500,2017,10,15
340,26303968,2018-12-03 11:43:50,500,2017,10,3
341,26303968,2018-12-03 12:42:57,500,2017,10,3
345,26303968,2019-03-14 08:31:55,500,2018,1,12
346,26303968,2018-12-17 06:19:40,500,2017,10,17
348,26303968,2019-04-22 04:54:21,400,2018,2,20
349,37408832,2018-11-18 21:36:23,150,2017,9,18
350,37408832,2018-12-08 06:43:16,150,2017,10,8
351,37408832,2018-12-11 01:53:47,50,2017,10,11
352,37408832,2018-12-02 12:29:04,50,2017,10,2
353,37408832,2018-12-04 01:57:21,50,2017,10,4
354,37408832,2018-12-20 13:44:06,50,2017,10,20
355,37408832,2019-03-30 03:55:36,350,2018,1,28
356,37408832,2019-10-17 06:11:00,450,2018,8,17
357,37408832,2019-10-17 06:12:05,450,2018,8,17
359,37535552,2019-11-13 07:47:41,500,2018,9,13
361,37535552,2019-04-20 02:29:56,500,2018,2,18
364,37535552,2018-11-09 21:26:13,500,2017,9,9
365,37535552,2018-11-09 21:26:16,500,2017,9,9
366,37535552,2018-07-21 06:46:48,450,2017,5,21
367,37535552,2019-08-04 06:51:07,500,2018,6,4
368,37535552,2019-08-07 02:09:41,750,2018,6,7
370,37535552,2018-12-15 07:22:50,500,2017,10,15
371,37535552,2019-03-25 02:41:36,500,2018,1,23
374,37535552,2019-07-06 07:11:26,500,2018,5,6
375,37535552,2019-05-01 02:24:07,500,2018,3,1
376,37535552,2019-01-23 03:32:17,300,2017,11,23
377,37535552,2019-04-03 03:29:57,300,2018,2,1
378,37535552,2019-05-31 05:20:43,300,2018,3,31
381,37535552,2019-01-04 05:42:38,500,2017,11,4
382,37535552,2019-03-04 02:57:05,500,2018,1,2
383,37535552,2018-03-17 01:57:09,500,2017,1,15
384,37535552,2018-03-17 01:57:59,500,2017,1,15
387,37535552,2018-05-13 04:14:14,500,2017,3,13
388,37535552,2018-05-30 03:01:38,500,2017,3,30
389,37535552,2018-06-09 02:46:56,500,2017,4,9
390,37535552,2018-06-22 04:50:04,500,2017,4,22
392,37535552,2018-12-27 03:34:31,500,2017,10,27
393,37535552,2018-04-21 19:33:00,500,2017,2,19
394,37535552,2018-04-23 07:49:27,500,2017,2,21
395,37535552,2018-04-24 06:16:00,500,2017,2,22
396,37535552,2018-04-28 03:14:40,500,2017,2,26
398,37535552,2018-05-04 04:22:42,500,2017,3,4
399,37535552,2018-03-13 08:04:52,500,2017,1,11
401,37535552,2018-11-20 04:38:34,450,2017,9,20
403,37535552,2018-03-31 03:13:12,500,2017,1,29
406,37585360,2019-05-08 12:52:31,50,2018,3,8
407,37585360,2019-05-08 12:52:57,50,2018,3,8
408,37585360,2019-03-19 10:33:35,50,2018,1,17
409,37585360,2019-03-19 10:33:58,50,2018,1,17
410,37585360,2019-03-19 10:34:21,50,2018,1,17
411,37585360,2019-10-21 06:57:46,50,2018,8,21
413,37585360,2019-09-04 15:29:54,50,2018,7,5
414,37585360,2019-09-04 15:30:16,50,2018,7,5
415,37585360,2019-10-21 06:56:29,50,2018,8,21
416,37585360,2019-10-21 06:56:56,50,2018,8,21
417,37585360,2019-10-21 06:57:22,50,2018,8,21
418,37585360,2019-03-19 10:34:42,50,2018,1,17
419,37585360,2019-07-07 15:10:18,50,2018,5,7
420,37585360,2019-07-07 15:10:44,50,2018,5,7
421,37585360,2019-05-08 12:52:31,50,2018,3,8
422,37585360,2019-05-08 12:52:57,50,2018,3,8
424,37725600,2019-11-20 00:37:08,50,2018,9,20
425,37769328,2018-08-20 00:39:02,400,2017,6,20
426,37769328,2018-09-09 02:45:26,50,2017,7,10
427,37769328,2018-09-09 02:45:57,50,2017,7,10
428,37769328,2018-09-12 20:00:18,300,2017,7,13
429,37769328,2018-09-29 22:40:16,350,2017,7,30
430,37769328,2018-10-02 23:23:32,500,2017,8,2
431,37769328,2019-07-17 19:58:19,50,2018,5,17
432,37769328,2019-10-06 01:13:34,50,2018,8,6
433,37769328,2019-10-06 01:14:19,150,2018,8,6
434,37769328,2019-04-17 04:07:12,150,2018,2,15
435,37769328,2019-09-05 04:20:09,350,2018,7,6
437,37769328,2019-07-17 19:57:43,150,2018,5,17
438,37769328,2019-06-11 04:12:19,300,2018,4,11
439,37769328,2019-06-11 05:03:58,90,2018,4,11
440,37769328,2019-11-09 18:42:19,300,2018,9,9
441,37769328,2019-11-20 05:20:52,300,2018,9,20
442,37769328,2019-08-23 06:35:13,50,2018,6,23
443,37769328,2019-10-06 01:12:47,50,2018,8,6
444,37769328,2019-06-09 04:19:43,50,2018,4,9
445,37769328,2019-06-09 04:20:21,50,2018,4,9
446,37769328,2019-06-09 04:21:04,90,2018,4,9
447,37769328,2019-06-09 15:59:37,300,2018,4,9
448,37769328,2019-06-10 16:01:15,150,2018,4,10
449,37769328,2019-06-10 16:01:51,50,2018,4,10
450,37769328,2019-05-18 05:11:01,50,2018,3,18
451,37769328,2018-10-31 04:46:01,50,2017,8,31
452,37769328,2018-11-07 04:18:13,150,2017,9,7
453,37769328,2018-11-07 21:08:48,150,2017,9,7
454,37769328,2018-11-09 03:59:49,50,2017,9,9
455,37769328,2018-11-09 04:00:20,50,2017,9,9
456,37769328,2019-06-30 18:08:28,50,2018,4,30
457,37769328,2019-07-02 21:06:02,150,2018,5,2
458,37769328,2019-07-02 21:06:35,50,2018,5,2
459,37769328,2019-07-02 21:07:11,50,2018,5,2
460,37769328,2019-05-18 05:08:03,50,2018,3,18
461,37769328,2019-05-18 05:09:01,500,2018,3,18
462,37769328,2019-06-22 05:14:37,50,2018,4,22
463,37769328,2019-06-22 05:15:06,50,2018,4,22
464,37769328,2019-06-27 04:59:17,50,2018,4,27
465,37769328,2019-06-27 04:59:47,50,2018,4,27
466,37769328,2019-06-30 02:21:30,50,2018,4,30
467,37769328,2019-06-30 18:07:55,50,2018,4,30
468,37769328,2019-03-21 17:23:59,150,2018,1,19
469,37769328,2019-03-24 15:57:44,50,2018,1,22
470,37769328,2019-03-25 04:58:16,50,2018,1,23
471,37769328,2019-03-25 04:59:01,50,2018,1,23
472,37769328,2019-03-28 15:54:08,50,2018,1,26
473,37769328,2019-03-28 15:55:15,50,2018,1,26
474,37769328,2019-06-17 03:53:04,500,2018,4,17
475,37769328,2019-06-17 03:53:42,50,2018,4,17
476,37769328,2019-06-17 03:54:21,50,2018,4,17
477,37769328,2019-06-20 16:09:55,50,2018,4,20
478,37769328,2019-06-20 16:10:23,150,2018,4,20
479,37769328,2019-03-20 04:01:59,90,2018,1,18
480,37769328,2019-03-16 18:07:59,50,2018,1,14
481,37769328,2019-03-16 18:08:46,150,2018,1,14
482,37769328,2019-01-05 15:58:41,50,2017,11,5
483,37769328,2019-01-06 00:43:16,50,2017,11,6
484,37769328,2019-06-13 20:53:18,350,2018,4,13
485,37769328,2019-06-14 04:18:24,300,2018,4,14
486,37769328,2019-03-06 16:01:02,50,2018,1,4
487,37769328,2019-03-09 16:15:27,50,2018,1,7
488,37769328,2019-03-10 22:34:30,50,2018,1,8
489,37769328,2019-03-11 16:51:40,50,2018,1,9
490,37769328,2019-03-13 15:48:46,50,2018,1,11
491,37769328,2019-03-15 06:23:19,50,2018,1,13
492,37769328,2019-05-29 17:31:48,150,2018,3,29
493,37769328,2019-06-03 16:24:07,300,2018,4,3
494,37769328,2019-06-05 16:57:39,150,2018,4,5
495,37769328,2019-03-06 00:09:55,50,2018,1,4
496,37769328,2019-03-06 00:10:26,50,2018,1,4
497,37769328,2019-03-06 16:00:33,50,2018,1,4
498,37769328,2019-04-07 23:33:42,350,2018,2,5
499,37769328,2019-04-08 16:00:24,50,2018,2,6
500,37769328,2019-04-10 16:05:25,50,2018,2,8
501,37769328,2019-04-11 16:03:21,50,2018,2,9
502,37769328,2019-04-13 04:02:01,50,2018,2,11
503,37769328,2019-04-14 22:47:56,90,2018,2,12
504,37769328,2019-01-27 18:49:24,150,2017,11,27
505,37769328,2019-02-01 16:30:44,50,2017,12,2
506,37769328,2019-02-01 16:31:15,50,2017,12,2
507,37769328,2019-03-31 15:58:50,50,2018,1,29
508,37769328,2019-04-03 17:58:36,50,2018,2,1
509,37769328,2019-04-06 17:38:25,50,2018,2,4
510,37769328,2019-02-06 16:36:03,50,2017,12,7
511,37769328,2019-02-07 16:15:05,50,2017,12,8
512,37769328,2019-02-07 16:15:37,50,2017,12,8
513,37769328,2019-02-16 19:20:03,500,2017,12,17
514,37769328,2019-02-19 20:59:08,400,2017,12,20
515,37769328,2019-01-21 17:58:12,150,2017,11,21
516,37769328,2019-03-03 21:28:47,300,2018,1,1
517,37769328,2018-03-16 14:59:16,50,2017,1,14
518,37769328,2018-03-16 14:59:57,50,2017,1,14
519,37769328,2019-01-10 05:06:16,150,2017,11,10
520,37769328,2019-02-04 16:17:00,50,2017,12,5
521,37769328,2019-02-04 20:16:47,50,2017,12,5
522,37769328,2019-01-04 05:00:35,50,2017,11,4
523,37769328,2019-01-05 15:56:13,50,2017,11,5
524,37769328,2019-02-26 19:59:01,50,2017,12,27
525,37769328,2019-02-26 20:00:16,50,2017,12,27
526,37769328,2019-03-02 16:52:35,50,2017,12,31
527,37769328,2019-03-03 17:33:56,50,2018,1,1
528,37769328,2018-11-30 04:36:29,150,2017,9,30
529,37769328,2018-11-30 21:27:31,300,2017,9,30
530,37769328,2018-12-04 04:32:50,50,2017,10,4
532,37769328,2019-01-03 16:43:05,150,2017,11,3
533,37769328,2019-01-04 05:00:03,50,2017,11,4
534,37769328,2018-11-21 00:47:59,50,2017,9,21
535,37769328,2018-11-23 08:28:43,50,2017,9,23
536,37769328,2018-11-24 04:05:24,50,2017,9,24
537,37769328,2018-11-24 04:05:55,150,2017,9,24
538,37769328,2018-11-27 04:10:34,50,2017,9,27
539,37769328,2018-11-27 04:11:01,50,2017,9,27
540,37769328,2018-11-14 03:59:17,50,2017,9,14
541,37769328,2018-11-17 02:45:02,50,2017,9,17
542,37769328,2018-11-17 15:45:34,50,2017,9,17
543,37769328,2018-11-20 04:08:32,50,2017,9,20
544,37769328,2018-11-21 00:46:42,300,2017,9,21
545,37769328,2018-11-21 00:47:22,50,2017,9,21
546,37769328,2018-10-26 04:10:20,50,2017,8,26
547,37769328,2018-10-26 04:11:11,50,2017,8,26
548,37769328,2018-10-26 22:09:38,500,2017,8,26
549,37769328,2018-10-26 22:27:50,500,2017,8,26
550,37769328,2018-03-10 01:20:47,150,2017,1,8
551,37769328,2018-11-14 03:58:46,50,2017,9,14
552,37833792,2018-06-06 22:03:37,150,2017,4,6
555,37833792,2019-06-06 21:04:30,150,2018,4,6
556,37833792,2019-06-06 21:06:18,150,2018,4,6
562,15720160,2018-03-19 04:59:41,500,2017,1,17
564,15720160,2018-04-09 19:10:25,500,2017,2,7
565,15720160,2018-04-09 19:16:07,500,2017,2,7
568,15720160,2018-12-25 06:36:28,500,2017,10,25
569,15720160,2019-05-25 19:46:06,500,2018,3,25
572,15803888,2019-06-05 05:40:32,300,2018,4,5
574,15803888,2019-10-07 06:06:49,500,2018,8,7
604,37690880,2018-07-24 05:46:43,500,2017,5,24
605,37690880,2018-07-24 05:47:34,150,2017,5,24
606,37690880,2018-07-27 18:31:10,500,2017,5,27
607,37690880,2018-07-31 02:08:32,500,2017,5,31
608,37690880,2018-08-08 01:39:43,500,2017,6,8
610,37690880,2019-10-11 16:11:18,300,2018,8,11
611,37690880,2019-10-17 20:12:56,150,2018,8,17
612,37690880,2019-10-22 20:36:26,150,2018,8,22
613,37690880,2019-10-29 20:23:57,150,2018,8,29
614,37690880,2019-11-12 02:23:44,150,2018,9,12
615,37690880,2019-11-15 04:50:11,150,2018,9,15
616,37690880,2019-11-21 19:23:05,150,2018,9,21
617,37690880,2019-11-25 02:32:40,500,2018,9,25
618,37690880,2019-01-28 04:55:32,500,2017,11,28
620,37690880,2019-04-15 00:10:53,150,2018,2,13
621,37690880,2019-03-31 01:31:25,150,2018,1,29
622,37690880,2018-12-22 05:32:48,500,2017,10,22
623,37690880,2019-11-05 00:59:44,150,2018,9,5
624,37690880,2018-07-18 03:41:20,500,2017,5,18
625,37690880,2019-11-09 19:20:34,150,2018,9,9
626,37690880,2018-07-10 01:32:32,400,2017,5,10
629,37690880,2019-04-21 15:50:37,50,2018,2,19
630,37690880,2018-03-16 19:26:15,500,2017,1,14
631,37690880,2019-01-13 00:15:13,500,2017,11,13
632,37690880,2018-06-03 05:10:05,50,2017,4,3
633,37690880,2018-06-08 01:37:00,500,2017,4,8
634,37690880,2018-06-13 01:33:39,150,2017,4,13
636,37690880,2018-07-06 03:10:32,500,2017,5,6
637,37690880,2018-07-08 02:23:28,500,2017,5,8
640,37690880,2018-05-11 04:59:17,150,2017,3,11
641,37690880,2018-05-11 19:55:01,150,2017,3,11
642,37690880,2018-05-23 02:25:39,500,2017,3,23
643,37690880,2018-06-01 17:16:34,500,2017,4,1
645,37690880,2018-04-07 04:15:29,500,2017,2,5
646,37690880,2018-04-11 01:31:30,500,2017,2,9
647,37690880,2018-04-15 02:38:06,500,2017,2,13
648,37690880,2018-04-22 03:22:15,300,2017,2,20
649,37690880,2018-04-28 05:19:34,300,2017,2,26
650,37690880,2018-11-04 04:23:09,150,2017,9,4
651,37690880,2018-11-04 04:22:28,500,2017,9,4
652,37690880,2018-11-23 05:34:09,500,2017,9,23
653,37690880,2018-04-03 17:22:14,500,2017,2,1
654,37690880,2018-04-03 21:20:42,500,2017,2,1
655,37690880,2018-04-04 19:33:04,500,2017,2,2
656,37690880,2018-10-13 02:08:34,500,2017,8,13
657,37690880,2018-10-24 20:32:03,500,2017,8,24
658,37690880,2018-11-15 05:05:34,500,2017,9,15
660,37690880,2018-10-29 01:01:34,400,2017,8,29
661,37690880,2018-11-02 04:36:24,400,2017,9,2
663,37690880,2018-09-13 02:57:55,500,2017,7,14
664,37690880,2018-09-21 16:47:48,150,2017,7,22
665,37690880,2018-09-27 05:14:52,500,2017,7,28
667,37690880,2018-10-08 01:01:39,500,2017,8,8
672,26332848,2019-02-17 01:25:58,500,2017,12,18
673,26332848,2019-04-10 08:11:27,500,2018,2,8
674,26332848,2019-07-08 09:32:24,500,2018,5,8
676,26332848,2019-04-18 01:39:41,300,2018,2,16
679,26598240,2018-09-02 20:38:47,150,2017,7,3
683,26598240,2019-05-07 06:30:38,150,2018,3,7
684,26598240,2019-05-07 06:30:38,150,2018,3,7
694,26598240,2018-06-15 07:45:25,300,2017,4,15
695,26598240,2018-06-24 03:48:27,500,2017,4,24
706,37732016,2019-11-25 11:35:59,150,2018,9,25
707,37790448,2018-08-08 02:51:08,500,2017,6,8
715,37790448,2019-03-23 04:47:34,500,2018,1,21
717,37790448,2019-11-01 18:08:47,500,2018,9,1
718,37790448,2019-11-16 15:55:17,500,2018,9,16
719,37790448,2019-11-29 02:45:45,500,2018,9,29
735,3344848,2018-09-07 03:17:07,500,2017,7,8
736,3344848,2018-03-26 18:53:43,150,2017,1,24
737,3344848,2018-03-28 02:08:03,500,2017,1,26
739,3344848,2018-05-04 02:01:33,350,2017,3,4
740,3344848,2018-05-04 20:10:31,350,2017,3,4
741,3344848,2019-10-18 03:10:09,350,2018,8,18
742,3344848,2019-10-21 02:11:54,300,2018,8,21
743,3344848,2019-10-09 00:37:19,500,2018,8,9
744,3344848,2019-10-10 01:36:02,750,2018,8,10
746,3344848,2019-10-11 20:16:01,750,2018,8,11
747,3344848,2019-10-14 03:03:08,750,2018,8,14
749,3344848,2019-10-05 01:58:09,450,2018,8,5
750,3344848,2019-04-16 04:06:00,750,2018,2,14
751,3344848,2019-04-18 00:40:33,750,2018,2,16
752,3344848,2019-09-10 05:18:14,300,2018,7,11
753,3344848,2019-10-07 04:42:13,750,2018,8,7
754,3344848,2019-10-07 23:58:07,750,2018,8,7
755,3344848,2019-05-18 04:48:47,750,2018,3,18
756,3344848,2018-11-04 04:34:45,150,2017,9,4
757,3344848,2018-07-17 05:29:22,400,2017,5,17
758,3344848,2019-11-24 18:46:17,150,2018,9,24
759,3344848,2019-10-03 23:56:03,750,2018,8,3
760,3344848,2019-10-04 04:56:23,750,2018,8,4
761,3344848,2018-06-14 04:00:25,150,2017,4,14
762,3344848,2019-02-28 22:02:40,350,2017,12,29
763,3344848,2019-01-12 05:04:55,150,2017,11,12
764,3344848,2019-04-30 05:37:20,750,2018,2,28
765,3344848,2019-03-10 03:25:42,350,2018,1,8
766,3344848,2019-02-17 02:30:09,150,2017,12,18
767,3344848,2018-05-06 02:03:33,150,2017,3,6
768,3344848,2018-05-07 22:02:27,150,2017,3,7
769,3344848,2018-05-11 03:48:40,150,2017,3,11
770,3344848,2018-05-12 02:52:18,150,2017,3,12
772,3344848,2018-06-12 04:58:54,350,2017,4,12
777,3502128,2019-02-13 00:33:39,500,2017,12,14
778,3502128,2019-03-27 00:38:42,500,2018,1,25
779,3502128,2019-11-05 00:24:48,300,2018,9,5
780,3502128,2019-08-07 16:54:38,300,2018,6,7
781,15840320,2018-04-30 04:37:11,150,2017,2,28
782,15840320,2019-06-12 07:16:16,150,2018,4,12
783,15840320,2019-11-12 02:58:28,150,2018,9,12
792,37378768,2018-09-08 05:25:18,150,2017,7,9
793,37378768,2018-09-21 07:40:26,300,2017,7,22
794,37378768,2018-04-19 22:39:52,150,2017,2,17
795,37378768,2019-11-02 11:10:19,400,2018,9,2
796,37378768,2019-10-08 10:38:07,300,2018,8,8
797,37749952,2019-07-11 22:52:07,50,2018,5,11
798,37749952,2019-11-06 02:05:29,50,2018,9,6
799,37749952,2019-11-07 06:30:31,50,2018,9,7
800,37749952,2019-11-23 02:25:30,50,2018,9,23
803,3528624,2019-11-23 04:01:39,500,2018,9,23
804,20724448,2019-03-24 02:48:31,750,2018,1,22
805,20724448,2019-10-13 05:21:11,50,2018,8,13
806,20724448,2019-10-13 05:22:00,50,2018,8,13
807,20724448,2019-10-13 05:22:56,50,2018,8,13
808,20724448,2019-10-13 05:23:51,50,2018,8,13
809,20724448,2019-10-13 05:25:00,50,2018,8,13
810,20724448,2019-10-13 05:38:09,50,2018,8,13
811,20724448,2019-10-13 05:39:03,50,2018,8,13
812,20724448,2019-10-13 05:39:39,50,2018,8,13
813,20724448,2019-10-13 05:40:24,50,2018,8,13
814,20724448,2019-10-13 05:41:17,50,2018,8,13
815,20724448,2019-10-13 05:41:54,50,2018,8,13
816,20724448,2019-10-13 05:33:39,50,2018,8,13
817,20724448,2019-10-13 05:34:28,50,2018,8,13
818,20724448,2019-10-13 05:35:31,50,2018,8,13
819,20724448,2019-10-13 05:36:11,50,2018,8,13
820,20724448,2019-10-13 05:36:47,50,2018,8,13
821,20724448,2019-10-13 05:37:30,50,2018,8,13
822,20724448,2019-10-13 05:27:10,50,2018,8,13
823,20724448,2019-10-13 05:28:24,50,2018,8,13
824,20724448,2019-10-13 05:29:45,50,2018,8,13
825,20724448,2019-10-13 05:31:27,50,2018,8,13
826,20724448,2019-10-13 05:32:12,50,2018,8,13
827,20724448,2019-10-13 05:33:01,50,2018,8,13
828,26387792,2018-03-17 18:53:49,300,2017,1,15
830,3295120,2018-07-27 23:21:28,500,2017,5,27
831,3295120,2018-07-27 23:24:52,300,2017,5,27
832,3295120,2018-09-06 04:13:25,150,2017,7,7
833,3295120,2018-09-14 22:33:51,450,2017,7,15
834,3295120,2018-09-15 15:16:33,350,2017,7,16
835,3295120,2018-03-22 22:51:57,400,2017,1,20
836,3295120,2019-08-09 03:59:54,300,2018,6,9
837,3295120,2019-09-14 23:24:14,300,2018,7,15
838,3295120,2019-09-07 04:40:32,400,2018,7,8
839,3295120,2019-10-24 23:08:31,300,2018,8,24
840,3295120,2019-04-12 00:27:57,500,2018,2,10
841,3295120,2019-03-28 02:04:38,350,2018,1,26
842,3295120,2019-03-13 02:28:36,400,2018,1,11
843,3295120,2019-06-13 22:02:33,350,2018,4,13
844,3295120,2018-10-30 21:09:31,350,2017,8,30
845,3295120,2019-08-09 03:56:24,400,2018,6,9
846,3295120,2018-04-20 23:54:30,400,2017,2,18
847,3295120,2018-04-20 23:58:11,300,2017,2,18
849,3295120,2018-07-14 02:38:14,350,2017,5,14
850,3295120,2018-12-31 15:51:46,300,2017,10,31
851,3295120,2019-02-03 21:28:51,300,2017,12,4
852,3660880,2018-03-29 19:41:49,300,2017,1,27
853,3660880,2018-12-09 03:57:10,500,2017,10,9
855,3660880,2018-06-22 08:15:54,150,2017,4,22
856,3660880,2019-02-25 06:39:02,500,2017,12,26
857,3660880,2019-01-21 06:16:58,500,2017,11,21
