,UID,payment_date,amount,YEAR,MONTH,DAY,item,num
421,37585360,2019-05-08 12:52:31,50,2018,3,8,6,2.0
422,37585360,2019-05-08 12:52:57,50,2018,3,8,3,2.0
424,37725600,2019-11-20 00:37:08,50,2018,9,20,2,2.0
425,37769328,2018-08-20 00:39:02,400,2017,6,20,4,16.0
426,37769328,2018-09-09 02:45:26,50,2017,7,10,1,2.0
427,37769328,2018-09-09 02:45:57,50,2017,7,10,6,2.0
428,37769328,2018-09-12 20:00:18,300,2017,7,13,5,12.0
429,37769328,2018-09-29 22:40:16,350,2017,7,30,3,14.0
430,37769328,2018-10-02 23:23:32,500,2017,8,2,4,20.0
431,37769328,2019-07-17 19:58:19,50,2018,5,17,2,2.0
432,37769328,2019-10-06 01:13:34,50,2018,8,6,1,2.0
433,37769328,2019-10-06 01:14:19,150,2018,8,6,1,6.0
434,37769328,2019-04-17 04:07:12,150,2018,2,15,4,6.0
435,37769328,2019-09-05 04:20:09,350,2018,7,6,6,14.0
437,37769328,2019-07-17 19:57:43,150,2018,5,17,6,6.0
438,37769328,2019-06-11 04:12:19,300,2018,4,11,2,12.0
439,37769328,2019-06-11 05:03:58,90,2018,4,11,6,3.6
440,37769328,2019-11-09 18:42:19,300,2018,9,9,6,12.0
441,37769328,2019-11-20 05:20:52,300,2018,9,20,4,12.0
442,37769328,2019-08-23 06:35:13,50,2018,6,23,1,2.0
443,37769328,2019-10-06 01:12:47,50,2018,8,6,1,2.0
444,37769328,2019-06-09 04:19:43,50,2018,4,9,6,2.0
445,37769328,2019-06-09 04:20:21,50,2018,4,9,3,2.0
446,37769328,2019-06-09 04:21:04,90,2018,4,9,2,3.6
447,37769328,2019-06-09 15:59:37,300,2018,4,9,5,12.0
448,37769328,2019-06-10 16:01:15,150,2018,4,10,5,6.0
449,37769328,2019-06-10 16:01:51,50,2018,4,10,2,2.0
450,37769328,2019-05-18 05:11:01,50,2018,3,18,4,2.0
451,37769328,2018-10-31 04:46:01,50,2017,8,31,1,2.0
452,37769328,2018-11-07 04:18:13,150,2017,9,7,6,6.0
453,37769328,2018-11-07 21:08:48,150,2017,9,7,2,6.0
454,37769328,2018-11-09 03:59:49,50,2017,9,9,2,2.0
455,37769328,2018-11-09 04:00:20,50,2017,9,9,2,2.0
456,37769328,2019-06-30 18:08:28,50,2018,4,30,1,2.0
457,37769328,2019-07-02 21:06:02,150,2018,5,2,2,6.0
458,37769328,2019-07-02 21:06:35,50,2018,5,2,1,2.0
459,37769328,2019-07-02 21:07:11,50,2018,5,2,3,2.0
460,37769328,2019-05-18 05:08:03,50,2018,3,18,1,2.0
461,37769328,2019-05-18 05:09:01,500,2018,3,18,2,20.0
462,37769328,2019-06-22 05:14:37,50,2018,4,22,4,2.0
463,37769328,2019-06-22 05:15:06,50,2018,4,22,4,2.0
464,37769328,2019-06-27 04:59:17,50,2018,4,27,6,2.0
465,37769328,2019-06-27 04:59:47,50,2018,4,27,1,2.0
466,37769328,2019-06-30 02:21:30,50,2018,4,30,1,2.0
467,37769328,2019-06-30 18:07:55,50,2018,4,30,1,2.0
468,37769328,2019-03-21 17:23:59,150,2018,1,19,4,6.0
469,37769328,2019-03-24 15:57:44,50,2018,1,22,1,2.0
470,37769328,2019-03-25 04:58:16,50,2018,1,23,1,2.0
471,37769328,2019-03-25 04:59:01,50,2018,1,23,3,2.0
472,37769328,2019-03-28 15:54:08,50,2018,1,26,6,2.0
473,37769328,2019-03-28 15:55:15,50,2018,1,26,1,2.0
474,37769328,2019-06-17 03:53:04,500,2018,4,17,4,20.0
475,37769328,2019-06-17 03:53:42,50,2018,4,17,1,2.0
476,37769328,2019-06-17 03:54:21,50,2018,4,17,4,2.0
477,37769328,2019-06-20 16:09:55,50,2018,4,20,1,2.0
478,37769328,2019-06-20 16:10:23,150,2018,4,20,3,6.0
479,37769328,2019-03-20 04:01:59,90,2018,1,18,5,3.6
480,37769328,2019-03-16 18:07:59,50,2018,1,14,1,2.0
481,37769328,2019-03-16 18:08:46,150,2018,1,14,6,6.0
482,37769328,2019-01-05 15:58:41,50,2017,11,5,1,2.0
483,37769328,2019-01-06 00:43:16,50,2017,11,6,4,2.0
484,37769328,2019-06-13 20:53:18,350,2018,4,13,5,14.0
485,37769328,2019-06-14 04:18:24,300,2018,4,14,4,12.0
486,37769328,2019-03-06 16:01:02,50,2018,1,4,5,2.0
487,37769328,2019-03-09 16:15:27,50,2018,1,7,6,2.0
488,37769328,2019-03-10 22:34:30,50,2018,1,8,1,2.0
489,37769328,2019-03-11 16:51:40,50,2018,1,9,4,2.0
490,37769328,2019-03-13 15:48:46,50,2018,1,11,5,2.0
491,37769328,2019-03-15 06:23:19,50,2018,1,13,6,2.0
492,37769328,2019-05-29 17:31:48,150,2018,3,29,5,6.0
493,37769328,2019-06-03 16:24:07,300,2018,4,3,5,12.0
494,37769328,2019-06-05 16:57:39,150,2018,4,5,5,6.0
495,37769328,2019-03-06 00:09:55,50,2018,1,4,6,2.0
496,37769328,2019-03-06 00:10:26,50,2018,1,4,4,2.0
497,37769328,2019-03-06 16:00:33,50,2018,1,4,3,2.0
498,37769328,2019-04-07 23:33:42,350,2018,2,5,5,14.0
499,37769328,2019-04-08 16:00:24,50,2018,2,6,6,2.0
500,37769328,2019-04-10 16:05:25,50,2018,2,8,4,2.0
501,37769328,2019-04-11 16:03:21,50,2018,2,9,1,2.0
502,37769328,2019-04-13 04:02:01,50,2018,2,11,6,2.0
503,37769328,2019-04-14 22:47:56,90,2018,2,12,1,3.6
504,37769328,2019-01-27 18:49:24,150,2017,11,27,2,6.0
505,37769328,2019-02-01 16:30:44,50,2017,12,2,6,2.0
506,37769328,2019-02-01 16:31:15,50,2017,12,2,6,2.0
507,37769328,2019-03-31 15:58:50,50,2018,1,29,1,2.0
508,37769328,2019-04-03 17:58:36,50,2018,2,1,4,2.0
509,37769328,2019-04-06 17:38:25,50,2018,2,4,1,2.0
510,37769328,2019-02-06 16:36:03,50,2017,12,7,3,2.0
511,37769328,2019-02-07 16:15:05,50,2017,12,8,4,2.0
512,37769328,2019-02-07 16:15:37,50,2017,12,8,1,2.0
513,37769328,2019-02-16 19:20:03,500,2017,12,17,3,20.0
514,37769328,2019-02-19 20:59:08,400,2017,12,20,5,16.0
515,37769328,2019-01-21 17:58:12,150,2017,11,21,3,6.0
516,37769328,2019-03-03 21:28:47,300,2018,1,1,1,12.0
517,37769328,2018-03-16 14:59:16,50,2017,1,14,3,2.0
518,37769328,2018-03-16 14:59:57,50,2017,1,14,4,2.0
519,37769328,2019-01-10 05:06:16,150,2017,11,10,3,6.0
520,37769328,2019-02-04 16:17:00,50,2017,12,5,3,2.0
521,37769328,2019-02-04 20:16:47,50,2017,12,5,3,2.0
522,37769328,2019-01-04 05:00:35,50,2017,11,4,5,2.0
523,37769328,2019-01-05 15:56:13,50,2017,11,5,4,2.0
524,37769328,2019-02-26 19:59:01,50,2017,12,27,5,2.0
525,37769328,2019-02-26 20:00:16,50,2017,12,27,6,2.0
526,37769328,2019-03-02 16:52:35,50,2017,12,31,3,2.0
527,37769328,2019-03-03 17:33:56,50,2018,1,1,1,2.0
528,37769328,2018-11-30 04:36:29,150,2017,9,30,6,6.0
529,37769328,2018-11-30 21:27:31,300,2017,9,30,5,12.0
530,37769328,2018-12-04 04:32:50,50,2017,10,4,1,2.0
532,37769328,2019-01-03 16:43:05,150,2017,11,3,1,6.0
533,37769328,2019-01-04 05:00:03,50,2017,11,4,3,2.0
534,37769328,2018-11-21 00:47:59,50,2017,9,21,2,2.0
535,37769328,2018-11-23 08:28:43,50,2017,9,23,4,2.0
536,37769328,2018-11-24 04:05:24,50,2017,9,24,5,2.0
537,37769328,2018-11-24 04:05:55,150,2017,9,24,1,6.0
538,37769328,2018-11-27 04:10:34,50,2017,9,27,6,2.0
539,37769328,2018-11-27 04:11:01,50,2017,9,27,5,2.0
540,37769328,2018-11-14 03:59:17,50,2017,9,14,1,2.0
541,37769328,2018-11-17 02:45:02,50,2017,9,17,6,2.0
542,37769328,2018-11-17 15:45:34,50,2017,9,17,2,2.0
543,37769328,2018-11-20 04:08:32,50,2017,9,20,3,2.0
544,37769328,2018-11-21 00:46:42,300,2017,9,21,5,12.0
545,37769328,2018-11-21 00:47:22,50,2017,9,21,6,2.0
546,37769328,2018-10-26 04:10:20,50,2017,8,26,5,2.0
547,37769328,2018-10-26 04:11:11,50,2017,8,26,1,2.0
548,37769328,2018-10-26 22:09:38,500,2017,8,26,2,20.0
549,37769328,2018-10-26 22:27:50,500,2017,8,26,3,20.0
550,37769328,2018-03-10 01:20:47,150,2017,1,8,2,6.0
551,37769328,2018-11-14 03:58:46,50,2017,9,14,4,2.0
552,37833792,2018-06-06 22:03:37,150,2017,4,6,1,6.0
555,37833792,2019-06-06 21:04:30,150,2018,4,6,3,6.0
556,37833792,2019-06-06 21:06:18,150,2018,4,6,4,6.0
562,15720160,2018-03-19 04:59:41,500,2017,1,17,4,20.0
564,15720160,2018-04-09 19:10:25,500,2017,2,7,1,20.0
565,15720160,2018-04-09 19:16:07,500,2017,2,7,2,20.0
568,15720160,2018-12-25 06:36:28,500,2017,10,25,2,20.0
569,15720160,2019-05-25 19:46:06,500,2018,3,25,1,20.0
572,15803888,2019-06-05 05:40:32,300,2018,4,5,2,12.0
574,15803888,2019-10-07 06:06:49,500,2018,8,7,4,20.0
604,37690880,2018-07-24 05:46:43,500,2017,5,24,3,20.0
605,37690880,2018-07-24 05:47:34,150,2017,5,24,5,6.0
606,37690880,2018-07-27 18:31:10,500,2017,5,27,2,20.0
607,37690880,2018-07-31 02:08:32,500,2017,5,31,2,20.0
608,37690880,2018-08-08 01:39:43,500,2017,6,8,2,20.0
610,37690880,2019-10-11 16:11:18,300,2018,8,11,1,12.0
611,37690880,2019-10-17 20:12:56,150,2018,8,17,2,6.0
612,37690880,2019-10-22 20:36:26,150,2018,8,22,5,6.0
613,37690880,2019-10-29 20:23:57,150,2018,8,29,4,6.0
614,37690880,2019-11-12 02:23:44,150,2018,9,12,3,6.0
615,37690880,2019-11-15 04:50:11,150,2018,9,15,4,6.0
616,37690880,2019-11-21 19:23:05,150,2018,9,21,3,6.0
617,37690880,2019-11-25 02:32:40,500,2018,9,25,4,20.0
618,37690880,2019-01-28 04:55:32,500,2017,11,28,3,20.0
620,37690880,2019-04-15 00:10:53,150,2018,2,13,6,6.0
621,37690880,2019-03-31 01:31:25,150,2018,1,29,1,6.0
622,37690880,2018-12-22 05:32:48,500,2017,10,22,1,20.0
623,37690880,2019-11-05 00:59:44,150,2018,9,5,4,6.0
624,37690880,2018-07-18 03:41:20,500,2017,5,18,1,20.0
625,37690880,2019-11-09 19:20:34,150,2018,9,9,3,6.0
626,37690880,2018-07-10 01:32:32,400,2017,5,10,6,16.0
629,37690880,2019-04-21 15:50:37,50,2018,2,19,4,2.0
630,37690880,2018-03-16 19:26:15,500,2017,1,14,3,20.0
631,37690880,2019-01-13 00:15:13,500,2017,11,13,2,20.0
632,37690880,2018-06-03 05:10:05,50,2017,4,3,2,2.0
633,37690880,2018-06-08 01:37:00,500,2017,4,8,4,20.0
634,37690880,2018-06-13 01:33:39,150,2017,4,13,6,6.0
636,37690880,2018-07-06 03:10:32,500,2017,5,6,2,20.0
637,37690880,2018-07-08 02:23:28,500,2017,5,8,5,20.0
640,37690880,2018-05-11 04:59:17,150,2017,3,11,1,6.0
641,37690880,2018-05-11 19:55:01,150,2017,3,11,6,6.0
642,37690880,2018-05-23 02:25:39,500,2017,3,23,6,20.0
643,37690880,2018-06-01 17:16:34,500,2017,4,1,1,20.0
645,37690880,2018-04-07 04:15:29,500,2017,2,5,2,20.0
646,37690880,2018-04-11 01:31:30,500,2017,2,9,4,20.0
647,37690880,2018-04-15 02:38:06,500,2017,2,13,6,20.0
648,37690880,2018-04-22 03:22:15,300,2017,2,20,3,12.0
649,37690880,2018-04-28 05:19:34,300,2017,2,26,4,12.0
650,37690880,2018-11-04 04:23:09,150,2017,9,4,2,6.0
651,37690880,2018-11-04 04:22:28,500,2017,9,4,2,20.0
652,37690880,2018-11-23 05:34:09,500,2017,9,23,4,20.0
653,37690880,2018-04-03 17:22:14,500,2017,2,1,6,20.0
654,37690880,2018-04-03 21:20:42,500,2017,2,1,1,20.0
655,37690880,2018-04-04 19:33:04,500,2017,2,2,4,20.0
656,37690880,2018-10-13 02:08:34,500,2017,8,13,4,20.0
657,37690880,2018-10-24 20:32:03,500,2017,8,24,5,20.0
658,37690880,2018-11-15 05:05:34,500,2017,9,15,6,20.0
660,37690880,2018-10-29 01:01:34,400,2017,8,29,2,16.0
661,37690880,2018-11-02 04:36:24,400,2017,9,2,4,16.0
663,37690880,2018-09-13 02:57:55,500,2017,7,14,2,20.0
664,37690880,2018-09-21 16:47:48,150,2017,7,22,4,6.0
665,37690880,2018-09-27 05:14:52,500,2017,7,28,6,20.0
667,37690880,2018-10-08 01:01:39,500,2017,8,8,4,20.0
672,26332848,2019-02-17 01:25:58,500,2017,12,18,6,20.0
673,26332848,2019-04-10 08:11:27,500,2018,2,8,3,20.0
674,26332848,2019-07-08 09:32:24,500,2018,5,8,6,20.0
676,26332848,2019-04-18 01:39:41,300,2018,2,16,2,12.0
679,26598240,2018-09-02 20:38:47,150,2017,7,3,2,6.0
683,26598240,2019-05-07 06:30:38,150,2018,3,7,6,6.0
684,26598240,2019-05-07 06:30:38,150,2018,3,7,2,6.0
694,26598240,2018-06-15 07:45:25,300,2017,4,15,5,12.0
695,26598240,2018-06-24 03:48:27,500,2017,4,24,2,20.0
706,37732016,2019-11-25 11:35:59,150,2018,9,25,5,6.0
707,37790448,2018-08-08 02:51:08,500,2017,6,8,3,20.0
715,37790448,2019-03-23 04:47:34,500,2018,1,21,4,20.0
717,37790448,2019-11-01 18:08:47,500,2018,9,1,6,20.0
718,37790448,2019-11-16 15:55:17,500,2018,9,16,6,20.0
719,37790448,2019-11-29 02:45:45,500,2018,9,29,6,20.0
735,3344848,2018-09-07 03:17:07,500,2017,7,8,2,20.0
736,3344848,2018-03-26 18:53:43,150,2017,1,24,4,6.0
737,3344848,2018-03-28 02:08:03,500,2017,1,26,6,20.0
739,3344848,2018-05-04 02:01:33,350,2017,3,4,6,14.0
740,3344848,2018-05-04 20:10:31,350,2017,3,4,1,14.0
741,3344848,2019-10-18 03:10:09,350,2018,8,18,2,14.0
742,3344848,2019-10-21 02:11:54,300,2018,8,21,3,12.0
743,3344848,2019-10-09 00:37:19,500,2018,8,9,5,20.0
744,3344848,2019-10-10 01:36:02,750,2018,8,10,6,30.0
746,3344848,2019-10-11 20:16:01,750,2018,8,11,6,30.0
747,3344848,2019-10-14 03:03:08,750,2018,8,14,5,30.0
749,3344848,2019-10-05 01:58:09,450,2018,8,5,1,18.0
750,3344848,2019-04-16 04:06:00,750,2018,2,14,4,30.0
751,3344848,2019-04-18 00:40:33,750,2018,2,16,1,30.0
